,id_cachaca,satisfacao,avaliacao,data_avaliacao
0,0,100%,"Excelente, envelhecida no carvalho, premiadíssima!!!",25/11/2012
1,0,100%,"É outro nível de cachaça. Muito boa. Não é para entornar, mas para ser apreciada calmamente e com um petisco, de preferência.",05/11/2012
2,0,100%,E beber com estilo,25/01/2012
3,0,100%,Melhor cachaça que já tomei!,26/08/2011
4,0,100%,"A cachaça Vale Verde é a melhor cachaça do Brasil, vale cada centavo.
Deve ser apreciada, levemente, nem vale a pena utilizar limão e açucar e fazer caipirinha com ela. A Vale Verde pura já é uma ótima bebida.",09/08/2011
5,0,100%,"Excelente cachaça, muito bom para aperitivo ou para preparo de caipirinhas de vários sabores!
Quem tiver a oportunidade de conhecer a Região Metropolitana de BH, não deixe de visitar a fazenda Vale Verde, em Betim!",09/08/2011
6,6,100%,"Maravilhosa cachaça, com uma cor dourada e excelente sabor que agrada a todos.",12/10/2013
7,6,100%,"Cachaça suave, ótimo paladar. 
Me surpreendeu positivamente. Recomendo!",21/11/2012
8,6,100%,"Cachaça muito suave, com gostinho doce. Surpreendeu meus amigos e eu. Não deu pra quem quis. Vou ter que pedir outra urgentemente!!!",01/09/2012
9,10,100%,"Cachaça CLAUDIONOR, muito boa. Inclusive leva o meu nome.
Tenho uma dessa em minha coleção.",07/11/2013
10,10,100%,Excelente cachaça  !,07/10/2013
11,10,,"Tenho restrições com relação a cachaças estandardizadas, mas a Claudionor é realmente muito boa e  pra acompanhar um peixe frito ainda não vi igual.",07/06/2012
12,10,100%,Tomei a danada e gostei é muito boa foi um amigo que comprou e pediu para nos experimentarmos dai fiz uma compra. Pela net estou aguardando. ,23/01/2012
13,10,100%,"3. lugar no ranking da Playboy 2011, cachaça imbatível, melhor custo benefício!",19/09/2011
14,10,80%,já experimentei! cachaça excelente! recomendo,15/09/2011
15,12,100%,Muito boa,22/10/2013
16,12,100%,Simplesmente a melhor das melhores!!!!,03/06/2012
17,12,80%,O verdadeiro blue label das cachaças brasileiras!  cachaça totalmente premiun!,26/08/2011
18,13,100%,"Gostei muito, entregaram rápido e muito bem embalada.Parabéns pelo comprometimento com os clientes .No meu caso que apenas coleciono tem varias qualidades ,gostei muito.Abraços!!!",19/06/2014
19,29,80%,Cachaça leve e com sabor agradável e suave. Muito boa.,13/10/2013
20,31,100%,"Excelente. Apesar de não ser um expert gosto muito do paladar.
Na hora que bebo sinto o gosto, a qualidade percebo quando acordo...inteiro.",13/12/2012
21,40,100%,"ja tomei centenas de cachacas, mas a bandarra e diferenciada, gostei de mais, sempre compro cachacas diferentes e nunca repito, mas esta vou repetir.",04/02/2012
22,41,100%,Ótimo custo benefício. ,09/10/2013
23,48,,exelente cachaça gostaria de comprar,08/01/2013
24,52,,"ainda nao provei dessa  cachaça,mais amigos me disseram que e otima.",18/11/2013
25,52,,"Pra quem é admirador das branquinhas pode comprar sem receio de errar, é excelente.",07/06/2012
26,63,80%,"Gostei dessa cachaça, possui bom sabor e mantem  persistência na boca porém, o seu aroma achei muito tímido. ",16/11/2013
27,63,100%,"Excelente cachaça, top entre as branquinhas, juntamente com a Santo Grau de Coronel Xavier, Volúpia e João Mendes. Na minha opinião a melhor cachaça do Brasil no momento.",26/05/2012
28,85,100%,A mais tradicional cachaça do estado de SP. Quem aprecia cachaça e não conhece ainda está perdendo uma parte importante da historia da cachaça artesanal de qualidade no Brasil,29/09/2012
